"var","var_total","in_or_out"
"firn",-67.4894768733757,"in"
"firnmelt",0,"out"
"gw",94.605713592871,"in"
"ice",187.84108251516,"in"
"icemelt",0,"out"
"Sd",0,"in"
"soil_moist",1.50338570964482,"in"
"SWE",-761.133255663442,"in"
"basinflow",3188.19367045895,"out"
"basingw",92.0930246813532,"out"
"E_s_int",792.428516938475,"out"
"hru_actet",289.550049582803,"out"
"hru_drift",147.733373044676,"out"
"hru_rain",614.213427327146,"in"
"hru_snow",4979.23253994543,"in"
"hru_subl",698.322661182535,"out"
"intcp_evap",0,"out"
"Subl_Cpy",0,"out"
