"HRU";"elevacion_msnm";"pendiente_grados";"orientacion_grados";"lon_x";"lat_y";"area_km2"
1;3857,862305;0;197,955505;-70,12994198;-33,57683422;0,1021875
2;3931,903564;0;84,071381;-70,13167951;-33,57600909;0,0125
3;3727,132324;0;65,33812;-70,13247699;-33,5770399;0,02078125
4;3730,388916;0;159,886154;-70,12897408;-33,58034629;0,50265625
5;3590,197754;0;97,047493;-70,13238697;-33,57789826;0,00734375
6;3919,661377;0;87,62825;-70,13725948;-33,58059946;0,071875
7;3590,197754;0;97,047493;-70,13599051;-33,58136572;0,05859375
8;3705,811768;0;79,953262;-70,12991811;-33,58241669;0,1278125
9;3499,016113;0;177,008057;-70,12003454;-33,58135105;0,1734375
10;3705,811768;0;79,953262;-70,13527901;-33,58035663;0,0071875
11;3442,104004;0;116,656548;-70,135048;-33,58234736;0,05609375
12;3506,904053;0;90,474495;-70,12683365;-33,58364386;0,20578125
13;4054,876221;0;111,940643;-70,14237694;-33,5852658;0,17546875
14;3326,776855;0;183,747177;-70,11456738;-33,58365352;0,0609375
15;3298,692871;0;183,570541;-70,11955622;-33,58331189;0,19515625
16;3308,441406;0;77,641991;-70,12434835;-33,58536873;0,10640625
17;3298,692871;0;183,570541;-70,1134654;-33,58344758;0,01953125
18;3931,903564;0;84,071381;-70,13883811;-33,58300333;0,011875
19;4078,344971;0;85,443192;-70,13978815;-33,5832195;0,015
20;3727,132324;0;65,33812;-70,13806449;-33,58297204;0,00734375
21;3689,836426;0;112,461395;-70,13450185;-33,5839967;0,00859375
22;3092,729492;0;211,796875;-70,11699478;-33,5863993;0,19921875
23;3919,661377;0;87,62825;-70,13923904;-33,5854045;0,174375
24;3705,811768;0;79,953262;-70,13529358;-33,58497138;0,07375
25;3106,966553;0;93,778008;-70,12029788;-33,58559931;0,08015625
26;3442,104004;0;116,656548;-70,12576965;-33,58730479;0,0584375
27;3442,104004;0;116,656548;-70,12024084;-33,5867732;0,02328125
28;3106,966553;0;93,778008;-70,12121414;-33,58761759;0,10859375
29;3727,132324;0;65,33812;-70,13441705;-33,58635176;0,04078125
30;3705,811768;0;79,953262;-70,13276376;-33,58647131;0,0178125
31;3705,811768;0;79,953262;-70,12923652;-33,59157836;0,340625
32;3727,132324;0;65,33812;-70,13225574;-33,58691325;0,01203125
33;3506,904053;0;90,474495;-70,12701107;-33,58988575;0,21734375
34;3931,903564;0;84,071381;-70,13900163;-33,58727622;0,03765625
35;3442,104004;0;116,656548;-70,11740726;-33,58796476;0,00640625
36;3879,303955;0;66,496811;-70,1366421;-33,58866624;0,17265625
37;3308,441406;0;77,641991;-70,12348765;-33,59086065;0,18390625
38;3919,661377;0;87,62825;-70,13973622;-33,58794246;0,01796875
39;3590,197754;0;97,047493;-70,11761152;-33,58917019;0,01234375
40;4078,344971;0;85,443192;-70,14264207;-33,58939714;0,101875
41;3106,966553;0;93,778008;-70,12021873;-33,59055623;0,14328125
42;3931,903564;0;84,071381;-70,13685016;-33,59037633;0,0540625
43;3730,388916;0;159,886154;-70,13315997;-33,59064915;0,05515625
44;3919,661377;0;87,62825;-70,13510427;-33,59140508;0,03734375
45;3931,903564;0;84,071381;-70,13269383;-33,59210792;0,04921875
46;3919,661377;0;87,62825;-70,13094986;-33,59303527;0,05703125
47;3590,197754;0;97,047493;-70,12331947;-33,594328;0,0615625
48;3727,132324;0;65,33812;-70,12506061;-33,59561157;0,0453125
